SN,R1(бу),R2(бу),Height(mm),Water level(mm)
1820,20,0,-154,190.24
1821,20,0,-157,190.36
1822,20,0,-160,190.4
1823,20,0,-163,190.48
1824,20,0,-166,190.6
1825,20,0,-169,190.68
1826,20,0,-172,190.76
1827,20,0,-175,190.84
1828,20,0,-178,190.96
1829,20,0,-181,191
1830,20,0,-184,191.12
1831,20,0,-187,191.24
1832,20,0,-190,191.4
1833,20,0,-193,191.48
1834,20,0,-196,191.68
1835,20,0,-199,191.76
1836,20,0,-202,191.88
1837,20,0,-205,192.08
1838,20,0,-208,192.28
1839,20,0,-211,192.44
1840,20,0,-214,192.6
1841,20,0,-217,192.76
1842,20,0,-220,192.96
1843,20,0,-223,193.12
1844,20,0,-226,193.28
1845,20,0,-229,193.48
1846,20,0,-232,193.64
1847,20,0,-235,193.88
1848,20,0,-238,193.96
1849,20,0,-241,194.12
1850,20,0,-244,194.28
1851,20,0,-247,194.48
1852,20,0,-250,194.6
1853,20,0,-253,194.72
1854,20,0,-256,194.92
1855,20,0,-259,195
1856,20,0,-262,195.16
1857,20,0,-265,195.24
1858,20,0,-268,195.44
1859,20,0,-271,195.6
1860,20,0,-274,195.8
1861,20,0,-277,195.88
1862,20,0,-280,195.96
1863,20,0,-283,196.16
1864,20,0,-286,196.32
1865,20,0,-289,196.4
1866,20,0,-292,196.52
1867,20,0,-295,196.6
1868,20,0,-298,196.76
1869,20,0,-301,196.84
1870,20,0,-304,197.08
1871,20,0,-307,197.16
1872,20,0,-310,197.36
1873,20,0,-313,197.6
1874,20,0,-316,197.8
1875,20,0,-319,197.96
1876,20,0,-322,198.08
1877,20,0,-325,198.2
1878,20,0,-328,198.32
1879,20,0,-331,198.44
1880,20,0,-334,198.4
1881,20,0,-337,198.44
1882,20,0,-340,198.52
1883,20,0,-343,198.56
1884,20,0,-346,198.56
1885,20,0,-349,198.52
1886,20,0,-352,198.64
1887,20,0,-355,198.64
1888,20,20,-25,188.44
1889,20,20,-28,188.4
1890,20,20,-31,188.44
1891,20,20,-34,188.44
1892,20,20,-37,188.44
1893,20,20,-40,188.44
1894,20,20,-43,188.44
1895,20,20,-46,188.44
1896,20,20,-49,188.44
1897,20,20,-52,188.44
1898,20,20,-55,188.44
1899,20,20,-58,188.48
1900,20,20,-61,188.48
1901,20,20,-64,188.48
1902,20,20,-67,188.52
1903,20,20,-70,188.56
1904,20,20,-73,188.6
1905,20,20,-76,188.68
1906,20,20,-79,188.72
1907,20,20,-82,188.76
1908,20,20,-85,188.8
1909,20,20,-88,188.88
1910,20,20,-91,188.92
1911,20,20,-94,189
1912,20,20,-97,189
1913,20,20,-100,189.04
1914,20,20,-103,189.08
1915,20,20,-106,189.12
1916,20,20,-109,189.16
1917,20,20,-112,189.2
1918,20,20,-115,189.24
1919,20,20,-118,189.36
1920,20,20,-121,189.4
1921,20,20,-124,189.48
1922,20,20,-127,189.56
1923,20,20,-130,189.64
1924,20,20,-133,189.68
1925,20,20,-136,189.76
1926,20,20,-139,189.84
1927,20,20,-142,189.96
1928,20,20,-145,190.04
1929,20,20,-148,190.12
1930,20,20,-151,190.16
1931,20,20,-154,190.28
1932,20,20,-157,190.32
1933,20,20,-160,190.4
1934,20,20,-163,190.48
1935,20,20,-166,190.56
1936,20,20,-169,190.64
1937,20,20,-172,190.72
1938,20,20,-175,190.8
1939,20,20,-178,190.92
1940,20,20,-181,190.96
1941,20,20,-184,191.16
1942,20,20,-187,191.24
1943,20,20,-190,191.36
1944,20,20,-193,191.44
1945,20,20,-196,191.6
1946,20,20,-199,191.72
1947,20,20,-202,191.88
1948,20,20,-205,192.08
1949,20,20,-208,192.2
1950,20,20,-211,192.4
1951,20,20,-214,192.56
1952,20,20,-217,192.76
1953,20,20,-220,192.92
1954,20,20,-223,193.08
1955,20,20,-226,193.24
1956,20,20,-229,193.44
1957,20,20,-232,193.6
1958,20,20,-235,193.76
1959,20,20,-238,193.92
1960,20,20,-241,194.08
1961,20,20,-244,194.28
1962,20,20,-247,194.4
1963,20,20,-250,194.56
1964,20,20,-253,194.68
1965,20,20,-256,194.8
1966,20,20,-259,194.96
1967,20,20,-262,195.08
1968,20,20,-265,195.24
1969,20,20,-268,195.36
1970,20,20,-271,195.52
1971,20,20,-274,195.6
1972,20,20,-277,195.84
1973,20,20,-280,195.96
1974,20,20,-283,196.08
1975,20,20,-286,196.24
1976,20,20,-289,196.36
1977,20,20,-292,196.52
1978,20,20,-295,196.64
1979,20,20,-298,196.8
1980,20,20,-301,197
1981,20,20,-304,197.16
1982,20,20,-307,197.28
1983,20,20,-310,197.44
1984,20,20,-313,197.56
1985,20,20,-316,197.68
1986,20,20,-319,197.88
1987,20,20,-322,198
1988,20,20,-325,198.08
1989,20,20,-328,198.16
1990,20,20,-331,198.28
1991,20,20,-334,198.36
1992,20,20,-337,198.36
1993,20,20,-340,198.44
1994,20,20,-343,198.48
1995,20,20,-346,198.52
1996,20,20,-349,198.56
1997,20,20,-352,198.6
1998,20,20,-355,198.6
1999,20,40,-25,188.4
2000,20,40,-28,188.4
2001,20,40,-31,188.4
2002,20,40,-34,188.4
2003,20,40,-37,188.4
2004,20,40,-40,188.4
2005,20,40,-43,188.4
2006,20,40,-46,188.4
2007,20,40,-49,188.44
2008,20,40,-52,188.44
2009,20,40,-55,188.44
2010,20,40,-58,188.44
2011,20,40,-61,188.48
2012,20,40,-64,188.56
2013,20,40,-67,188.52
2014,20,40,-70,188.56
2015,20,40,-73,188.6
2016,20,40,-76,188.64
2017,20,40,-79,188.68
2018,20,40,-82,188.72
2019,20,40,-85,188.76
2020,20,40,-88,188.8
2021,20,40,-91,188.88
2022,20,40,-94,188.92
2023,20,40,-97,189
2024,20,40,-100,189.04
2025,20,40,-103,189.08
2026,20,40,-106,189.12
2027,20,40,-109,189.16
2028,20,40,-112,189.2
2029,20,40,-115,189.24
2030,20,40,-118,189.32
2031,20,40,-121,189.36
2032,20,40,-124,189.48
2033,20,40,-127,189.52
2034,20,40,-130,189.64
2035,20,40,-133,189.68
2036,20,40,-136,189.76
2037,20,40,-139,189.84
2038,20,40,-142,189.92
2039,20,40,-145,190
2040,20,40,-148,190.08
2041,20,40,-151,190.16
2042,20,40,-154,190.2
2043,20,40,-157,190.32
2044,20,40,-160,190.36
2045,20,40,-163,190.4
2046,20,40,-166,190.52
2047,20,40,-169,190.56
2048,20,40,-172,190.68
2049,20,40,-175,190.76
2050,20,40,-178,190.84
2051,20,40,-181,190.96
2052,20,40,-184,191.08
2053,20,40,-187,191.2
2054,20,40,-190,191.36
2055,20,40,-193,191.44
2056,20,40,-196,191.6
2057,20,40,-199,191.72
2058,20,40,-202,191.88
2059,20,40,-205,192.04
2060,20,40,-208,192.2
2061,20,40,-211,192.36
2062,20,40,-214,192.52
2063,20,40,-217,192.72
2064,20,40,-220,192.88
2065,20,40,-223,193.04
2066,20,40,-226,193.24
2067,20,40,-229,193.4
2068,20,40,-232,193.6
2069,20,40,-235,193.76
2070,20,40,-238,193.92
2071,20,40,-241,194.08
2072,20,40,-244,194.28
2073,20,40,-247,194.36
2074,20,40,-250,194.52
2075,20,40,-253,194.68
2076,20,40,-256,194.8
2077,20,40,-259,194.96
2078,20,40,-262,195.12
2079,20,40,-265,195.2
2080,20,40,-268,195.32
2081,20,40,-271,195.48
2082,20,40,-274,195.6
2083,20,40,-277,195.72
2084,20,40,-280,195.88
2085,20,40,-283,196.04
2086,20,40,-286,196.24
2087,20,40,-289,196.4
2088,20,40,-292,196.6
2089,20,40,-295,196.72
2090,20,40,-298,196.88
2091,20,40,-301,197.04
2092,20,40,-304,197.2
2093,20,40,-307,197.36
2094,20,40,-310,197.48
2095,20,40,-313,197.6
2096,20,40,-316,197.64
2097,20,40,-319,197.76
2098,20,40,-322,197.92
2099,20,40,-325,198
2100,20,40,-328,198.08
2101,20,40,-331,198.2
2102,20,40,-334,198.32
2103,20,40,-337,198.36
2104,20,40,-340,198.44
2105,20,40,-343,198.44
2106,20,40,-346,198.52
2107,20,40,-349,198.56
2108,20,40,-352,198.6
2109,20,40,-355,198.64
2110,20,60,-25,188.4
2111,20,60,-28,188.4
2112,20,60,-31,188.36
2113,20,60,-34,188.4
2114,20,60,-37,188.4
2115,20,60,-40,188.4
2116,20,60,-43,188.4
2117,20,60,-46,188.4
2118,20,60,-49,188.4
2119,20,60,-52,188.44
2120,20,60,-55,188.44
2121,20,60,-58,188.4
2122,20,60,-61,188.52
2123,20,60,-64,188.52
2124,20,60,-67,188.52
2125,20,60,-70,188.56
2126,20,60,-73,188.6
2127,20,60,-76,188.64
2128,20,60,-79,188.68
2129,20,60,-82,188.76
2130,20,60,-85,188.8
2131,20,60,-88,188.84
2132,20,60,-91,188.88
2133,20,60,-94,188.96
2134,20,60,-97,189
2135,20,60,-100,189.04
2136,20,60,-103,189.08
2137,20,60,-106,189.08
2138,20,60,-109,189.16
2139,20,60,-112,189.2
2140,20,60,-115,189.24
2141,20,60,-118,189.28
2142,20,60,-121,189.4
2143,20,60,-124,189.4
2144,20,60,-127,189.56
2145,20,60,-130,189.64
2146,20,60,-133,189.72
2147,20,60,-136,189.8
2148,20,60,-139,189.84
2149,20,60,-142,189.96
2150,20,60,-145,190
2151,20,60,-148,190.08
2152,20,60,-151,190.2
2153,20,60,-154,190.24
2154,20,60,-157,190.28
2155,20,60,-160,190.36
2156,20,60,-163,190.44
2157,20,60,-166,190.48
2158,20,60,-169,190.56
2159,20,60,-172,190.68
2160,20,60,-175,190.76
2161,20,60,-178,190.76
2162,20,60,-181,190.88
2163,20,60,-184,191.08
2164,20,60,-187,191.2
2165,20,60,-190,191.36
2166,20,60,-193,191.44
2167,20,60,-196,191.6
2168,20,60,-199,191.72
2169,20,60,-202,191.88
2170,20,60,-205,192.08
2171,20,60,-208,192.24
2172,20,60,-211,192.4
2173,20,60,-214,192.52
2174,20,60,-217,192.68
2175,20,60,-220,192.88
2176,20,60,-223,193.08
2177,20,60,-226,193.24
2178,20,60,-229,193.4
2179,20,60,-232,193.56
2180,20,60,-235,193.72
2181,20,60,-238,193.92
2182,20,60,-241,194.08
2183,20,60,-244,194.24
2184,20,60,-247,194.4
2185,20,60,-250,194.56
2186,20,60,-253,194.68
2187,20,60,-256,194.84
2188,20,60,-259,194.96
2189,20,60,-262,195.08
2190,20,60,-265,195.24
2191,20,60,-268,195.36
2192,20,60,-271,195.52
2193,20,60,-274,195.6
2194,20,60,-277,195.8
2195,20,60,-280,195.96
2196,20,60,-283,196.08
2197,20,60,-286,196.2
2198,20,60,-289,196.4
2199,20,60,-292,196.56
2200,20,60,-295,196.72
2201,20,60,-298,196.84
2202,20,60,-301,197
2203,20,60,-304,197.16
2204,20,60,-307,197.36
2205,20,60,-310,197.4
2206,20,60,-313,197.64
2207,20,60,-316,197.68
2208,20,60,-319,197.84
2209,20,60,-322,198
2210,20,60,-325,198.04
2211,20,60,-328,198.12
2212,20,60,-331,198.2
2213,20,60,-334,198.32
2214,20,60,-337,198.36
2215,20,60,-340,198.4
2216,20,60,-343,198.44
2217,20,60,-346,198.48
2218,20,60,-349,198.52
2219,20,60,-352,198.56
2220,20,60,-355,198.6
2221,25,0,-25,188.32
2222,25,0,-28,188.36
2223,25,0,-31,188.36
2224,25,0,-34,188.36
2225,25,0,-37,188.36
2226,25,0,-40,188.36
2227,25,0,-43,188.32
2228,25,0,-46,188.36
2229,25,0,-49,188.36
2230,25,0,-52,188.36
2231,25,0,-55,188.36
2232,25,0,-58,188.36
2233,25,0,-61,188.4
2234,25,0,-64,188.4
2235,25,0,-67,188.4
2236,25,0,-70,188.44
2237,25,0,-73,188.44
2238,25,0,-76,188.44
2239,25,0,-79,188.44
2240,25,0,-82,188.44
2241,25,0,-85,188.52
2242,25,0,-88,188.52
2243,25,0,-91,188.68
2244,25,0,-94,188.76
2245,25,0,-97,188.84
2246,25,0,-100,188.84
2247,25,0,-103,188.88
2248,25,0,-106,188.92
2249,25,0,-109,188.92
2250,25,0,-112,188.96
2251,25,0,-115,189
2252,25,0,-118,189.04
2253,25,0,-121,189.08
2254,25,0,-124,189.08
2255,25,0,-127,189.16
2256,25,0,-130,189.24
2257,25,0,-133,189.36
2258,25,0,-136,189.4
2259,25,0,-139,189.48
2260,25,0,-142,189.56
2261,25,0,-145,189.64
2262,25,0,-148,189.68
2263,25,0,-151,189.8
2264,25,0,-154,189.88
2265,25,0,-157,190
2266,25,0,-160,190.08
2267,25,0,-163,190.12
2268,25,0,-166,190.24
2269,25,0,-169,190.36
2270,25,0,-172,190.4
2271,25,0,-175,190.52
2272,25,0,-178,190.6
2273,25,0,-181,190.72
2274,25,0,-184,190.84
2275,25,0,-187,190.88
2276,25,0,-190,191
2277,25,0,-193,191.08
2278,25,0,-196,191.2
2279,25,0,-199,191.32
2280,25,0,-202,191.44
2281,25,0,-205,191.56
2282,25,0,-208,191.72
2283,25,0,-211,191.8
2284,25,0,-214,192
2285,25,0,-217,192.2
2286,25,0,-220,192.36
2287,25,0,-223,192.52
2288,25,0,-226,192.72
2289,25,0,-229,192.88
2290,25,0,-232,193.08
2291,25,0,-235,193.28
2292,25,0,-238,193.48
2293,25,0,-241,193.64
2294,25,0,-244,193.8
2295,25,0,-247,193.96
2296,25,0,-250,194.12
2297,25,0,-253,194.28
2298,25,0,-256,194.48
2299,25,0,-259,194.6
2300,25,0,-262,194.72
2301,25,0,-265,194.92
2302,25,0,-268,195.04
2303,25,0,-271,195.2
2304,25,0,-274,195.36
2305,25,0,-277,195.52
2306,25,0,-280,195.6
2307,25,0,-283,195.8
2308,25,0,-286,195.96
2309,25,0,-289,196.04
2310,25,0,-292,196.2
2311,25,0,-295,196.32
2312,25,0,-298,196.4
2313,25,0,-301,196.48
2314,25,0,-304,196.64
2315,25,0,-307,196.76
2316,25,0,-310,196.88
2317,25,0,-313,197.08
2318,25,0,-316,197.2
2319,25,0,-319,197.48
2320,25,0,-322,197.64
2321,25,0,-325,197.76
2322,25,0,-328,197.92
2323,25,0,-331,198.04
2324,25,0,-334,198.08
2325,25,0,-337,198.24
2326,25,0,-340,198.28
2327,25,0,-343,198.28
2328,25,0,-346,198.36
2329,25,0,-349,198.4
2330,25,0,-352,198.44
2331,25,0,-355,198.48
2332,25,20,-25,188.4
2333,25,20,-28,188.36
2334,25,20,-31,188.36
2335,25,20,-34,188.36
2336,25,20,-37,188.36
2337,25,20,-40,188.36
2338,25,20,-43,188.36
2339,25,20,-46,188.4
2340,25,20,-49,188.36
2341,25,20,-52,188.36
2342,25,20,-55,188.36
2343,25,20,-58,188.4
2344,25,20,-61,188.4
2345,25,20,-64,188.44
2346,25,20,-67,188.4
2347,25,20,-70,188.4
2348,25,20,-73,188.44
2349,25,20,-76,188.44
2350,25,20,-79,188.48
2351,25,20,-82,188.52
2352,25,20,-85,188.56
2353,25,20,-88,188.6
2354,25,20,-91,188.64
2355,25,20,-94,188.68
2356,25,20,-97,188.76
2357,25,20,-100,188.8
2358,25,20,-103,188.84
2359,25,20,-106,188.88
2360,25,20,-109,188.92
2361,25,20,-112,188.96
2362,25,20,-115,189
2363,25,20,-118,189.04
2364,25,20,-121,189.12
2365,25,20,-124,189.12
2366,25,20,-127,189.2
2367,25,20,-130,189.28
2368,25,20,-133,189.32
2369,25,20,-136,189.4
2370,25,20,-139,189.48
2371,25,20,-142,189.56
2372,25,20,-145,189.68
2373,25,20,-148,189.72
2374,25,20,-151,189.8
2375,25,20,-154,189.88
2376,25,20,-157,189.96
2377,25,20,-160,190.08
2378,25,20,-163,190.16
2379,25,20,-166,190.24
2380,25,20,-169,190.28
2381,25,20,-172,190.36
2382,25,20,-175,190.48
2383,25,20,-178,190.6
2384,25,20,-181,190.72
2385,25,20,-184,190.8
2386,25,20,-187,190.88
2387,25,20,-190,191
2388,25,20,-193,191.12
2389,25,20,-196,191.24
2390,25,20,-199,191.36
2391,25,20,-202,191.48
2392,25,20,-205,191.6
2393,25,20,-208,191.72
2394,25,20,-211,191.88
2395,25,20,-214,192
2396,25,20,-217,192.12
2397,25,20,-220,192.36
2398,25,20,-223,192.52
2399,25,20,-226,192.64
2400,25,20,-229,192.84
2401,25,20,-232,193.04
2402,25,20,-235,193.2
2403,25,20,-238,193.4
2404,25,20,-241,193.56
2405,25,20,-244,193.76
2406,25,20,-247,193.92
2407,25,20,-250,194.08
2408,25,20,-253,194.24
2409,25,20,-256,194.4
2410,25,20,-259,194.56
2411,25,20,-262,194.64
2412,25,20,-265,194.84
2413,25,20,-268,195
2414,25,20,-271,195.16
2415,25,20,-274,195.28
2416,25,20,-277,195.44
2417,25,20,-280,195.56
2418,25,20,-283,195.72
2419,25,20,-286,195.88
2420,25,20,-289,196
2421,25,20,-292,196.12
2422,25,20,-295,196.24
2423,25,20,-298,196.36
2424,25,20,-301,196.56
2425,25,20,-304,196.68
2426,25,20,-307,196.84
2427,25,20,-310,197
2428,25,20,-313,197.12
2429,25,20,-316,197.24
2430,25,20,-319,197.36
2431,25,20,-322,197.56
2432,25,20,-325,197.68
2433,25,20,-328,197.76
2434,25,20,-331,197.88
2435,25,20,-334,198
2436,25,20,-337,198.08
2437,25,20,-340,198.16
2438,25,20,-343,198.2
2439,25,20,-346,198.28
2440,25,20,-349,198.32
2441,25,20,-352,198.36
2442,25,20,-355,198.44
2443,25,40,-25,188.36
2444,25,40,-28,188.36
2445,25,40,-31,188.36
2446,25,40,-34,188.36
2447,25,40,-37,188.36
2448,25,40,-40,188.36
2449,25,40,-43,188.36
2450,25,40,-46,188.36
2451,25,40,-49,188.36
2452,25,40,-52,188.36
2453,25,40,-55,188.4
2454,25,40,-58,188.36
2455,25,40,-61,188.4
2456,25,40,-64,188.4
2457,25,40,-67,188.44
2458,25,40,-70,188.44
2459,25,40,-73,188.48
2460,25,40,-76,188.48
2461,25,40,-79,188.52
2462,25,40,-82,188.56
2463,25,40,-85,188.6
2464,25,40,-88,188.64
2465,25,40,-91,188.64
2466,25,40,-94,188.68
2467,25,40,-97,188.72
2468,25,40,-100,188.76
2469,25,40,-103,188.8
2470,25,40,-106,188.88
2471,25,40,-109,188.88
2472,25,40,-112,188.92
2473,25,40,-115,189
2474,25,40,-118,189
2475,25,40,-121,189.08
2476,25,40,-124,189.12
2477,25,40,-127,189.2
2478,25,40,-130,189.24
2479,25,40,-133,189.32
2480,25,40,-136,189.4
2481,25,40,-139,189.48
2482,25,40,-142,189.56
2483,25,40,-145,189.64
2484,25,40,-148,189.72
2485,25,40,-151,189.8
2486,25,40,-154,189.84
2487,25,40,-157,189.96
2488,25,40,-160,190.04
2489,25,40,-163,190.12
2490,25,40,-166,190.2
2491,25,40,-169,190.2
2492,25,40,-172,190.36
2493,25,40,-175,190.44
2494,25,40,-178,190.52
2495,25,40,-181,190.64
2496,25,40,-184,190.72
2497,25,40,-187,190.88
2498,25,40,-190,190.96
2499,25,40,-193,191.04
2500,25,40,-196,191.24
2501,25,40,-199,191.36
2502,25,40,-202,191.48
2503,25,40,-205,191.6
2504,25,40,-208,191.76
2505,25,40,-211,191.88
2506,25,40,-214,192.04
2507,25,40,-217,192.16
2508,25,40,-220,192.36
2509,25,40,-223,192.52
2510,25,40,-226,192.72
2511,25,40,-229,192.8
2512,25,40,-232,193
2513,25,40,-235,193.2
2514,25,40,-238,193.4
2515,25,40,-241,193.56
2516,25,40,-244,193.68
2517,25,40,-247,193.88
2518,25,40,-250,194.08
2519,25,40,-253,194.24
2520,25,40,-256,194.36
2521,25,40,-259,194.52
2522,25,40,-262,194.68
2523,25,40,-265,194.8
2524,25,40,-268,194.96
2525,25,40,-271,195.08
2526,25,40,-274,195.24
2527,25,40,-277,195.36
2528,25,40,-280,195.56
2529,25,40,-283,195.72
2530,25,40,-286,195.92
2531,25,40,-289,196.04
2532,25,40,-292,196.24
2533,25,40,-295,196.36
2534,25,40,-298,196.52
2535,25,40,-301,196.64
2536,25,40,-304,196.8
2537,25,40,-307,196.96
2538,25,40,-310,197.08
2539,25,40,-313,197.2
2540,25,40,-316,197.32
2541,25,40,-319,197.36
2542,25,40,-322,197.52
2543,25,40,-325,197.6
2544,25,40,-328,197.64
2545,25,40,-331,197.76
2546,25,40,-334,197.92
2547,25,40,-337,198
2548,25,40,-340,198.08
2549,25,40,-343,198.16
2550,25,40,-346,198.24
2551,25,40,-349,198.32
2552,25,40,-352,198.4
2553,25,40,-355,198.44
2554,25,60,-25,188.32
2555,25,60,-28,188.36
2556,25,60,-31,188.36
2557,25,60,-34,188.36
2558,25,60,-37,188.36
2559,25,60,-40,188.36
2560,25,60,-43,188.32
2561,25,60,-46,188.36
2562,25,60,-49,188.36
2563,25,60,-52,188.36
2564,25,60,-55,188.36
2565,25,60,-58,188.36
2566,25,60,-61,188.4
2567,25,60,-64,188.4
2568,25,60,-67,188.44
2569,25,60,-70,188.44
2570,25,60,-73,188.48
2571,25,60,-76,188.48
2572,25,60,-79,188.52
2573,25,60,-82,188.56
2574,25,60,-85,188.6
2575,25,60,-88,188.6
2576,25,60,-91,188.64
2577,25,60,-94,188.72
2578,25,60,-97,188.76
2579,25,60,-100,188.76
2580,25,60,-103,188.8
2581,25,60,-106,188.88
2582,25,60,-109,188.92
2583,25,60,-112,188.92
2584,25,60,-115,188.96
2585,25,60,-118,189
2586,25,60,-121,189.08
2587,25,60,-124,189.12
2588,25,60,-127,189.24
2589,25,60,-130,189.28
2590,25,60,-133,189.36
2591,25,60,-136,189.44
2592,25,60,-139,189.48
2593,25,60,-142,189.6
2594,25,60,-145,189.64
2595,25,60,-148,189.72
2596,25,60,-151,189.8
2597,25,60,-154,189.88
2598,25,60,-157,190
2599,25,60,-160,190.04
2600,25,60,-163,190.08
2601,25,60,-166,190.12
2602,25,60,-169,190.28
2603,25,60,-172,190.32
2604,25,60,-175,190.4
2605,25,60,-178,190.52
2606,25,60,-181,190.64
2607,25,60,-184,190.72
2608,25,60,-187,190.84
2609,25,60,-190,191
2610,25,60,-193,191
2611,25,60,-196,191.24
2612,25,60,-199,191.4
2613,25,60,-202,191.48
2614,25,60,-205,191.6
2615,25,60,-208,191.76
2616,25,60,-211,191.88
2617,25,60,-214,192.08
2618,25,60,-217,192.2
2619,25,60,-220,192.36
2620,25,60,-223,192.52
2621,25,60,-226,192.68
2622,25,60,-229,192.84
2623,25,60,-232,193
2624,25,60,-235,193.2
2625,25,60,-238,193.36
2626,25,60,-241,193.52
2627,25,60,-244,193.68
2628,25,60,-247,193.88
2629,25,60,-250,194.04
2630,25,60,-253,194.24
2631,25,60,-256,194.4
2632,25,60,-259,194.52
2633,25,60,-262,194.68
2634,25,60,-265,194.84
2635,25,60,-268,194.96
2636,25,60,-271,195.12
2637,25,60,-274,195.24
2638,25,60,-277,195.44
2639,25,60,-280,195.56
2640,25,60,-283,195.72
2641,25,60,-286,195.84
2642,25,60,-289,196
2643,25,60,-292,196.16
2644,25,60,-295,196.36
2645,25,60,-298,196.44
2646,25,60,-301,196.6
2647,25,60,-304,196.72
2648,25,60,-307,196.88
2649,25,60,-310,197
2650,25,60,-313,197.12
2651,25,60,-316,197.28
2652,25,60,-319,197.36
2653,25,60,-322,197.48
2654,25,60,-325,197.64
2655,25,60,-328,197.68
2656,25,60,-331,197.8
2657,25,60,-334,197.92
2658,25,60,-337,198
2659,25,60,-340,198.04
2660,25,60,-343,198.12
2661,25,60,-346,198.2
2662,25,60,-349,198.28
2663,25,60,-352,198.36
2664,25,60,-355,198.44
2665,30,0,-25,188.32
2666,30,0,-28,188.32
2667,30,0,-31,188.28
2668,30,0,-34,188.28
2669,30,0,-37,188.24
2670,30,0,-40,188.28
2671,30,0,-43,188.28
2672,30,0,-46,188.32
2673,30,0,-49,188.32
2674,30,0,-52,188.32
2675,30,0,-55,188.32
2676,30,0,-58,188.36
2677,30,0,-61,188.32
2678,30,0,-64,188.32
2679,30,0,-67,188.36
2680,30,0,-70,188.36
2681,30,0,-73,188.36
2682,30,0,-76,188.36
2683,30,0,-79,188.4
2684,30,0,-82,188.4
2685,30,0,-85,188.4
2686,30,0,-88,188.4
2687,30,0,-91,188.44
